CandidateId,PositionThresholdM,AttitudeThresholdDeg,VelocityThresholdMps,BodyRateThresholdRadps,GrowthFactor,MinimumConsecutiveGrowthSteps,CandidateStepCount,EligibleStepCount,EligibleStepFraction,PositiveStepCount,PositiveStepFractionAll,PositiveEligibleFraction,PositiveOnsetCount,PositiveEpisodeCount,PositiveEpisodeFraction,PositiveCellCount,PositiveFamilyCount,AbsoluteForecastPositiveCount,SafetyForecastPositiveCount,GrowthOnlyPositiveCount,LeadMeanSteps,LeadP50Steps,LeadP95Steps
C119,0.15,5,1,1,2,3,477900,474860,0.99363883657669,14093,0.0294894329357606,0.0296782209493324,1584,531,0.196666666666667,112,5,8964,764,5069,12.9538068544668,15,20
C120,0.15,5,1,1,2,5,477900,474860,0.99363883657669,13842,0.0289642184557439,0.0291496441056311,1460,525,0.194444444444444,109,5,8964,764,4818,12.8260366998989,14,20
C121,0.15,10,0.3,1,1.25,3,477900,475578,0.995141242937853,18616,0.0389537560159029,0.0391439469445601,2038,619,0.229259259259259,115,5,8657,780,9898,14.7858831113021,20,20
C122,0.15,10,0.3,1,1.25,5,477900,475578,0.995141242937853,17699,0.0370349445490688,0.0372157669194117,1811,598,0.221481481481481,114,5,8657,780,8981,14.5157353522798,20,20
C123,0.15,10,0.3,1,1.5,3,477900,475578,0.995141242937853,14611,0.0305733417032852,0.0307226154279634,1750,500,0.185185185185185,114,5,8657,780,5893,13.3566490999932,16,20
C124,0.15,10,0.3,1,1.5,5,477900,475578,0.995141242937853,14182,0.0296756643649299,0.0298205551980958,1559,484,0.179259259259259,111,5,8657,780,5464,13.1556903116627,15,20
C125,0.15,10,0.3,1,2,3,477900,475578,0.995141242937853,10998,0.0230131826741996,0.023125544074789,1322,333,0.123333333333333,102,5,8657,780,2280,11.1742134933624,11,20
C126,0.15,10,0.3,1,2,5,477900,475578,0.995141242937853,10793,0.0225842226407198,0.0226944896525912,1201,318,0.117777777777778,100,5,8657,780,2075,11.0065783378115,10,20
C127,0.15,10,0.5,1,1.25,3,477900,475761,0.995524168236033,18245,0.0381774429797029,0.0383490870416028,1941,589,0.218148148148148,112,5,8434,781,9750,14.8648396821047,20,20
C128,0.15,10,0.5,1,1.25,5,477900,475761,0.995524168236033,17320,0.0362418916091233,0.0364048335193511,1679,563,0.208518518518519,107,5,8434,781,8825,14.5905889145497,20,20
C129,0.15,10,0.5,1,1.5,3,477900,475761,0.995524168236033,14172,0.029654739485248,0.0297880658565961,1646,464,0.171851851851852,107,5,8434,781,5677,13.3890064916737,16,20
C130,0.15,10,0.5,1,1.5,5,477900,475761,0.995524168236033,13721,0.0287110274115924,0.0288401108960171,1445,446,0.165185185185185,102,5,8434,781,5226,13.1717076014868,15,20
C131,0.15,10,0.5,1,2,3,477900,475761,0.995524168236033,10560,0.0220966729441306,0.0221960185891656,1238,307,0.113703703703704,95,5,8434,781,2065,11.1277462121212,11,20
C132,0.15,10,0.5,1,2,5,477900,475761,0.995524168236033,10332,0.0216195856873823,0.0217167863696268,1109,291,0.107777777777778,91,5,8434,781,1837,10.9319589624468,10,20
